,episode,score,avg_score,epsilon,loss,avg_loss
260,260,-144.33014973388526,-301.056655813607,0.01,280.3716735839844,233.7541841840744
261,261,-122.90603950454229,-298.1479029291324,0.01,27.248451232910156,233.84514016628265
262,262,-139.25073932128385,-295.3207926474372,0.01,288.5368957519531,230.25212594509125
263,263,-187.01589194634548,-294.5108411029754,0.01,869.333251953125,233.83650765895842
264,264,254.16762612526722,-288.27673321171915,0.01,18.453428268432617,227.17994513988495
265,265,-256.774606174481,-286.5284823989999,0.01,296.0986633300781,222.1714072370529
266,266,-110.93297219649344,-282.4799999367118,0.01,383.5490417480469,225.8701024198532
267,267,-540.4903331955779,-284.230881078553,0.01,651.9091186523438,226.86014697551727
268,268,-259.33387939238764,-282.8486010627868,0.01,432.7246398925781,231.06763616085053
269,269,-123.09326598467578,-280.0989700657024,0.01,45.98078918457031,224.7236897802353
270,270,-576.2779844476624,-282.3938222929415,0.01,179.10145568847656,226.26400596141815
271,271,-138.53876580747766,-279.4713278572479,0.01,52.290897369384766,226.66718763828277
272,272,-543.0450380349691,-280.66606649025397,0.01,220.06288146972656,223.5713882303238
273,273,-384.9607517802018,-281.61490828365663,0.01,592.2195434570312,229.13693674564362
274,274,-437.7040022588981,-282.0479960804076,0.01,51.69321823120117,229.35923285007476
275,275,-579.1060506194283,-284.2344452101232,0.01,79.0790786743164,222.3916630411148
276,276,-550.5056616867419,-285.58021843457425,0.01,570.3045654296875,227.77159155368804
277,277,-832.0826676440881,-292.25296032425746,0.01,462.4158630371094,226.3055884408951
278,278,-274.4400128142786,-293.9445916889446,0.01,164.83262634277344,227.80704219341277
279,279,-427.2973834718955,-294.4268841540741,0.01,7.0672221183776855,227.60217928886414
280,280,-286.32530472939777,-292.12129241626303,0.01,57.43204879760742,221.48372633934022
281,281,-449.56797195670094,-293.2492466201194,0.01,576.6246948242188,227.0866323375702
282,282,-198.48845816219892,-292.0493106813426,0.01,1010.8374633789062,237.07647547721862
283,283,-81.30601103367435,-289.1048358569035,0.01,48.41962814331055,237.4398146343231
284,284,-492.7445923821669,-290.27388054608883,0.01,572.5384521484375,242.94862235069274
285,285,-636.9680868885783,-292.9766952969857,0.01,31.127765655517578,240.24675547599793
286,286,-59.432999469701,-290.12375581903416,0.01,44.94240951538086,240.56224843025208
287,287,-415.1172468916593,-291.2709306566069,0.01,1048.3509521484375,246.20430714607238
288,288,-540.5825302382395,-292.7494440694777,0.01,40.145957946777344,246.37398228645324
289,289,-968.1768912739691,-299.0958996691084,0.01,746.3543090820312,253.31051957130433
290,290,-690.3055830119358,-302.6014921598299,0.01,329.1649169921875,256.3396919345856
291,291,-555.2456656871982,-304.5912551445418,0.01,328.54034423828125,259.4066355609894
292,292,-426.60563249657935,-305.2404708385313,0.01,695.4364624023438,266.3082291221619
293,293,-755.1292362717502,-309.34791699679744,0.01,38.56044387817383,266.1679918861389
294,294,-429.05717910073474,-311.89625808015836,0.01,531.51220703125,271.4026905822754
295,295,-610.9858312804008,-314.25318550484633,0.01,416.33697509765625,262.5430537414551
296,296,-743.9845751847961,-319.9310129642542,0.01,40.07070541381836,262.83127490997316
297,297,-569.9064417029582,-322.52515037747025,0.01,90.7773208618164,263.3482420349121
298,298,-717.6747846299221,-327.1612786839216,0.01,10.264252662658691,258.9674046421051
299,299,-575.782931973371,-329.991166868687,0.01,319.27606201171875,261.88668290138247
300,300,-782.7652388997961,-334.3173864717389,0.01,15.95573616027832,252.83093813896178
301,301,-884.2658070032437,-340.61430206239305,0.01,46.73480987548828,253.083481798172
302,302,-691.3564595171588,-344.3874579730156,0.01,391.76568603515625,256.8542051887512
303,303,-670.2770332683958,-346.53121368100204,0.01,36.874366760253906,257.1679189634323
304,304,-159.6741315715417,-343.8838204025517,0.01,16.63083267211914,254.4377493238449
305,305,-51.01752415341679,-339.81078249942846,0.01,17.060428619384766,254.32522639751434
306,306,-374.7423222027388,-340.76651209981884,0.01,79.1953353881836,251.8313771390915
307,307,-822.47932484637,-344.1966715068877,0.01,305.7234191894531,243.87403369426727
308,308,-713.2930314994561,-348.40416030032645,0.01,38.14268112182617,244.12093626499177
309,309,-577.9252467725223,-351.1914459699505,0.01,643.7828979492188,250.16605680942536
310,310,-314.39489444341973,-350.9254104617688,0.01,1000.1370239257812,259.6332063531876
311,311,-387.8664112391463,-352.035314489836,0.01,72.60014343261719,253.43402224063874
312,312,-1005.1128892798008,-359.2449986533258,0.01,45.1190185546875,253.77826721668242
313,313,-815.892518231964,-365.4809288139906,0.01,77.8765869140625,251.21867096424103
